25.4,26.4,25.6,23.3,19.9,16.8,15.9,18.2,20.6,24.5,22.8,24.9
24.5,25.7,23.9,22.3,19.1,17.3,17.6,19.1,22.5,21.6,23.2,28.5
27.6,26.8,25.8,24.4,21.3,17.7,18.1,18.1,22,22.5,24.9,26.4
25.9,25.6,25,23.1,20.1,17.1,17.3,17.5,19.3,21.1,22.7,26
27,26.1,25.3,21.7,20.7,17.3,18.7,18,20.5,22.2,25.1,26.7
25.3,25.9,24.9,22.7,20.6,17.9,16.8,18,18.7,19.9,23,28.6
27.8,26.4,26.3,23.7,19.9,16.8,16.3,19.5,18.5,24.7,25.4,27.8
26.8,29.1,26,22.7,20.9,16.6,16.3,17.3,18.9,21.6,23.3,24.2
27.7,27.5,25.1,22.9,18.7,18.2,17.3,18.2,20.5,22.6,24.5,28.3
27.2,26.9,26.5,23.8,20.7,18,16.7,20.5,24,23.1,25.8,27.5
27.2,26.2,26.2,24.6,20.1,17.5,17.1,17.8,21.9,22.8,22,26
27,27.3,24.7,23.3,21.5,16.1,15.3,20,20.1,21.6,25.7,25.9
27.5,28.2,27,20.8,20.3,16.5,16.2,17.8,21.9,21.3,23.9,25.1
25.5,26.4,23.6,22.2,19.3,17.8,15.7,18.7,19.5,22.1,24.7,25.5
27.3,24.7,25.8,22.1,19.7,17.3,16.6,17.3,19.2,21.8,23.3,27.6
26.2,26.4,25.9,25.1,20.1,17.2,17.2,17.6,20.6,22.5,21.8,24.9
27.1,27.2,24,23.1,20.2,18,16.5,18.3,21.6,21.3,25,24.7
27.2,25.7,24.9,22,20.4,18.3,18.5,19.1,21.9,27,23.6,25.8
25.1,26.4,25,22.9,20.5,16.7,16.2,17,20.6,24.1,23.6,25.5
25.6,25.1,25,23.1,20.9,17.3,17.5,17.4,19.1,22.3,25,29.2
29.2,28.7,26,23,19.8,19.4,16.4,18.7,21.3,24.1,23.7,24.8
25.6,25,25.5,22.7,19.7,17.3,18.1,18,19.7,21.4,22.7,24.3
27.7,27.9,24.3,23.8,20.3,17.3,17.6,19,19.7,22.7,23.5,26.2
29.1,27.3,23.4,23.3,20.8,17.5,17.4,18.1,21.4,22.6,24.7,25.3
25.2,25.6,24.8,21.8,20,17.1,16.6,21.1,19,21.8,24.8,23.9
25.5,24.8,24.6,23.1,20.5,18.1,17.2,18.9,21.9,22.3,24.1,24.7
24.2,26.3,25.4,24.2,19.9,17.7,16.2,18.6,19.2,23.4,25.7,27.5
28.3,29.4,26.8,23.3,20.1,17.5,16.2,18,21.8,23.7,21.5,26
27.5,26.3,26,21,20.9,17.6,17.4,18.6,20.7,23.2,22.4,24.2
24.9,28.2,25.2,22.8,19.9,17.1,17.6,18.4,22.8,22.9,23.3,28
27.9,27,25.4,23.6,19,19.3,16.8,18.9,21.9,23.8,23.3,26.6
26.8,25.1,25.2,23.7,19.5,18.4,17.9,19,22.9,24.6,25.9,25.9
27.6,27.2,24.6,21.9,20.3,19.5,17.4,18.9,22.4,21.2,22.9,26.5
27.8,27.8,25.6,23.8,20.6,19.8,17.4,19.3,21.4,23.3,25.7,26.1
27,27.4,23.8,25.2,20.4,19.3,18.7,19.6,20.7,24.4,24.8,29.5
28,27.9,26.8,23.7,19.9,16.4,17.3,19,22.9,24.4,25,25
27.5,26.8,26.3,22.8,22.7,16.7,16.8,20.1,21,25.8,23.7,25.4
27,24.6,25.6,21.1,20.2,18.7,17.1,17.3,21.7,24,24.1,27
28.7,26.1,26.2,22.6,20.4,18.3,18.1,21.5,23.5,21.9,27.2,26.4
28,28.1,26.7,24.2,20.4,17.5,16.8,18.3,21.1,22.6,24.1,26.7
28.1,29,26.3,22.5,19.1,18,17.2,19.4,21.7,21.9,25.9,22.6
26.9,26.1,24.9,23.6,20.4,17.7,17.3,19.9,22.6,23.7,24.4,26.9
28.3,26.5,27,23.5,21.1,18.2,19.6,21.2,25.2,26.1,24.7,27.3
27.9,26.8,26.8,23.6,22.6,19.4,18.8,17.3,21.5,25,26.3,27.3
28.3,27.4,26.8,22.6,20.7,18.4,17.2,19.5,20.3,26,26.8,27
27.9,28.4,27,24.8,23.4,19.2,19,19.2,21.5,24,26.4,28.8
30.1,29,25.9,23.5,21.1,18.1,19.4,19.4,,,,
