32.3,31.4,30.9,31.8,31.3,29.2,30.3,31.4,33.6,33.6,32.9,31.9
32.6,32.1,31.8,33,31.5,30.6,30.6,31.3,32.9,33.5,33.7,33.4
32.3,32.4,31.7,33.1,33.1,31.6,31.3,32.8,33.3,34.4,32.7,32.4
30.1,30.8,30.4,32.6,31.7,29.6,30.9,31.2,32.8,32.7,32.7,31.1
32.7,31.6,31.7,33,32.9,30.6,32.2,32.1,33.5,33.2,32.6,32.1
31.1,30.7,30.9,33.7,32.5,31.1,30.7,31.1,32.8,33.4,34.4,33.7
31.8,31.7,29.7,32.3,30.9,29.4,29.6,31.4,32,33.1,33.5,32.9
31.6,31.3,33,33.4,33.1,30.8,30.6,32.1,32.5,32.9,32.7,33
31.7,32.3,32.5,33.6,32.2,31.4,30.9,31.4,33,33.7,34.3,33.7
31.6,30.7,32.3,32.8,32.7,31.8,30.9,31.8,33.1,32.9,33.3,32.7
30.8,30.6,31.9,32.9,31.8,30.9,31.7,31.7,33,32.8,32.8,32.8
31.5,31,31.6,33.9,32.2,30.2,29.8,30.7,31.1,32.9,32.7,33.1
32.7,32.6,31.6,32,31.4,30.8,29.5,31.4,32.6,33.3,32.9,33
31.1,30.2,31.2,32.7,32.7,30.5,29.4,30.9,31.9,33.5,33,32.2
32.7,31.6,32.2,33.1,32.5,29.2,29.3,31.3,32.8,32.8,33.5,33.7
31.6,32.2,32.3,32.5,32.5,31.1,30.3,30.4,32.4,32.7,33.2,33.8
31.4,30.2,33,33.1,32.5,31.4,30.5,31.2,32.1,33.8,33.5,32
32.7,32.2,32.7,32.9,32.8,31,31.6,32.9,32.7,33.5,33,30.8
32,32.6,30.7,32,32.2,30,30.8,30.8,32.7,33.5,33.9,33.2
32,32.7,32.3,32.7,31.6,29.9,31.1,30.8,33.3,33.8,33.7,32.5
31,30.1,32.2,32.6,32.2,31.2,30.4,31.3,31.7,33.4,32.5,33.5
32.5,31.8,33.2,31.9,32.8,30.9,31.2,31.6,32.7,33.4,33,32.8
31.6,30.6,32.4,34,32.6,31.7,30.7,31.6,32.5,33.5,33.8,32.2
32.5,31.3,32.4,32.8,32.4,30.6,30.3,31.6,31.8,33,33.9,32.7
31.2,31.6,30.9,32,31.6,30.4,30.8,32.2,32.7,32.8,33.4,32.4
32.3,32.4,32.3,32.4,32.5,32.1,31,31.6,33.1,33.6,33.7,31.9
30.9,31,31.9,33.6,31.5,30.7,30.7,31.3,33,33.2,33.2,32.7
31.6,32.6,32.5,33.9,33.4,32.4,32.4,32.6,33.6,34.2,33.6,31.6
31.3,30.3,31.5,32,31.4,31.3,30.6,31.7,33.1,33,32.8,32.8
31.4,30.9,31,31.5,31.3,29.2,30.5,31.8,33.3,32.9,33.9,31.4
31.8,31.3,31.6,32.6,31.5,31.7,30.6,31.2,33.1,33.8,33.9,32.5
33.1,31,33.3,33.5,33,31.2,30.8,31.7,31.8,34.2,34.1,34.4
32.1,31.1,31.9,34,33,32,31.7,31.6,33,34.1,33.8,32.7
31.8,30.9,31.9,34,31.9,29.7,30.3,30.7,32.9,33.8,34.3,33.5
32.4,32.8,32.7,33.5,32.6,31.5,31.9,32,32.9,34.2,33.9,33.2
31,32.7,30.9,31.1,30.8,29.9,29.6,31.4,32.8,33.6,33.9,33.9
32.4,32.1,30.9,33.1,33.4,29.9,29.9,31.3,33.1,33.9,33.6,33.3
32.2,30.8,32.2,33.3,32.5,31.4,31.2,32.6,33.3,34.4,34.2,32.2
32.1,30.9,33.2,33.6,32.6,31.5,31.3,32,33.5,34.8,33.7,32.9
31.5,32.6,33.3,32.5,32.3,31.1,32.6,32.8,34,33.7,33,31.9
31.1,30.5,31,31.7,30.8,29,31.2,31.9,32.8,33.3,32.9,33.3
32.6,32.4,31.8,32.8,31.1,29.7,30.6,31.4,33.7,33.9,33.9,34.2
32.9,32.6,32,33.7,32.7,31.8,31.5,32.1,33.3,34.1,32.9,32.6
31.7,31.3,33,33,32.7,31.2,31.1,31.9,33.2,34.3,34.3,34
31.2,32.6,32.7,33.2,32.6,32,31.3,31.8,33.2,33.8,34.7,32.4
33,33.5,33.7,34.5,33.5,33.2,31.5,32.6,33.2,33.8,33.7,32.6
32,31.6,32.1,32,32.9,31.3,32.6,33.1,,,,
